location,floor,title,price,age,area-m2,owner,room,seller,date
/konut-kiralik/istanbul-kadikoy-caddebostan-emlakcidan-daire/detay/32237714,4. Kat,Caddebostan da Kombili Balkonlu Ebeveynli 140 3+1 Kiralık Daire,4.100,2,140,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-beyoglu-cihangir-emlakcidan-daire/detay/32326812,3. Kat,Cihangir merkezde masrafsız 2+1 120 m2 yüksek tavanlı,3.500,35,120,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-bakirkoy-kartaltepe-emlakcidan-daire/detay/32226775,5. Kat,DENİZ EMLAKTAN BAKIRKÖY İNCİRLİDE KİRALIK DUBLEKS,2.650,10,130,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-avcilar-universite-emlakcidan-daire/detay/32353765,4. Kat,AVCILAR ÖĞRENCİ İKAMETİNE UYGUN KİRALIK DOĞALGAZ KOMBİLİ DUBLEKS,1.200,16,180,Emlakçıdan,3+2,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/32264126,3. Kat,"Florya\u0027da Sitede,Güvenlikli,Bakımlı Lüx Daire ŞEBNEM ÖZGÜL\u0027DEN",8.250,11,250,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32361730,7. Kat,BEŞİKTAŞ ETİLER UÇAKSAVAR SİTESİN DE 2+1 100M2 DENİZ MANZARALI ,3.250,38,100,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-arnavutkoy-emlakcidan-daire/detay/31609216,Kot 2,Beşiktaş Arnavutköy Kiralık 3+1 Daire Manzaralı Otoparklı ,7.750,35,150,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-maltepe-kucukyali-emlakcidan-daire/detay/31592973,4. Kat,Metronun dibi 3 oda salon 5 yıllık kaçmaz fırsat 1750 asansörlü,1.750,10,100,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-kadikoy-bostanci-sahibinden-daire/detay/27288695,3. Kat,BOSTANCI\u0027DA SAHİBİNDEN KİRALIK DAİRE,3.500,20,170,Sahibinden,4+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/31993684,3. Kat,ETİLER KİRALIK BADUR SİTESİNDE 4+1 DAİRE,10.000,10,184,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-bebek-emlakcidan-daire/detay/32359164,1. Kat,BEBEK\u0027 te MODERN YENİLENMİŞ BOĞAZ MANZARALI KİRALIK LÜKS KONUT,35.000,39,300,Emlakçıdan,5+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-levazim-emlakcidan-daire/detay/32329860,1. Kat,Zorlu Avm Karşısı Seba Flora Sitesi Kiralık 4+1 210m2 Lüks Konut,13.500,6,210,Emlakçıdan,4+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/32325326,2. Kat,FLORYA GÜNYÜZÜ EMLAKTAN DENİZ MANZARALI LÜX TRİPLEX.,13.000,19,400,Emlakçıdan,4+2,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-erenkoy-emlakcidan-daire/detay/32357463,1. Kat,Erenköy Ethem Efendi 5.Bina Taşınmaya Hazır Balkonlu Geniş 3+1,2.500,30,145,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32181229,Bahçe Katı,ETİLERDE 2+1 100M2 ULTRALÜKS BAHÇE KULANIMLI DAİRE,3.750,30,100,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-cekmekoy-merkez-emlakcidan-daire/detay/31638777,3. Kat,RAPSODİ EVLERİ KİRALIK 4+1 DUBLEKS DAİRE..TEK YETKİLİ ÖZLEM AKSU,5.450,10,245,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32325471,5. Kat,Ulus Cadde Paraleli Otoparklı Bakımlı 2+1 Kiralık Daire,3.800,25,100,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32329702,1. Kat,Ulus Boğaziçi Sitesi Kiralık Muhteşem Boğaz Manzaralı Lüks Konut,29.500,30,200,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-kadikoy-goztepe-sahibinden-daire/detay/27186746,2. Kat,SAHİBİNDEN BAĞDAT CADDESİNE VE TREN İSTASYONUNA YAKIN 4+1,3.250,17,180,Sahibinden,4+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-beykoz-anadolu-hisari-emlakcidan-daire/detay/32143102,Bahçe Katı,Beykoz Anadoluhisarı Yeni Sitede Kiralık Sıfır SON Bahçe Dubleks,10.000,4,300,Emlakçıdan,5+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-mecidiye-emlakcidan-daire/detay/32338713,3. Kat,F\u0026C GAYRİMENKUL\u0027DEN ORTAKÖY MERKEZDE TEMİZ 2+1,2.000,25,75,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-bakirkoy-kartaltepe-emlakcidan-daire/detay/32200929,5. Kat,DENİZ EMLAKTAN BAKIRKÖY KARTALTEPE MAHALLESİNDE 3+1 KİRALIK DAİR,2.300,32,120,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-eyup-islambey-emlakcidan-daire/detay/32315043,2. Kat,Eyüp İslambey kiralık 2+1 Daire  Sıfır Merkezde Manzaralı,1.300,0,80,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-uskudar-barbaros-emlakcidan-daire/detay/31772936,Ara Kat,Aidatsız Altunizadede Asansörlü 250m2 Kiralık Lüks Daire,6.250,20,250,İnşaat Firmasından,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/32156515,2. Kat,FLORYA \u0027DA Site içerisinde Muhteşem EŞYALI  Dublex,8.000,13,300,Emlakçıdan,4+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32008788,2. Kat,"ULUS,SİTEDE FULL BOĞAZ MANZARALI4+1 KİRALIK DAİRE",25.000,25,220,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bagcilar-baglar-emlakcidan-daire/detay/32316987,3. Kat,Bağcılar Bağlar Mahallesinde 2+1 Tadilatlı 90 m2 Kiralık Daire,1.300,15,90,Emlakçıdan,2+1,Kurumsal,01.12.2018
