,location,floor,title,price,age,area-m2,owner,room,seller,date
0,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32329741,3. Kat,Besiktas Modern Eşyalı 4+1 Kiralık Daire (129),11.65,3,210,Emlakçıdan,4+1,Kurumsal,09.12.2018
1,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32253338,Giriş Katı,Ulus Savoy Eşyalı Şehir Manzaralı 2+1 Kiralik Daire (194),13.5,4,110,Emlakçıdan,2+1,Kurumsal,09.12.2018
2,/konut-kiralik/istanbul-besiktas-bebek-emlakcidan-daire/detay/32351555,1. Kat,Bebek\u0027te Manzaralı Kiralık Yalı Dairesi,22,40,120,Emlakçıdan,2+1,Kurumsal,09.12.2018
3,/konut-kiralik/istanbul-fatih-seyyid-omer-emlakcidan-daire/detay/32388828,3. Kat,BAŞVEKİL EMLAKTAN SEYİTÖMERDE KİRALIK 2+1 TEMİZ DAİRE Favorileri,1.4,35,80,Emlakçıdan,2+1,Kurumsal,09.12.2018
4,/konut-kiralik/istanbul-beylikduzu-adnan-kahveci-emlakcidan-daire/detay/32408618,9. Kat,Beylikdüzü Beykent Osmanlı Caddesinde Sıfır 5+2 Dubleks,2.5,7,330,Emlakçıdan,5+2,Kurumsal,09.12.2018
5,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32371260,1. Kat,YENİ ULUS SİTESİ\u0027NDE HAVUZBAŞI KONUMDA FIRSAT DAİRE!,7.25,23,223,Emlakçıdan,4+1,Kurumsal,09.12.2018
6,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32372641,15. Kat,Maslak Mashattan Modern Eşyalı 3+1 Kiralik Daire (97),8.15,12,170,Emlakçıdan,3+1,Kurumsal,09.12.2018
7,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32244173,15. Kat,Maslak Mashattan 3+1 Kiralık Residence 15.Kat Manzara \u0026 Ankastre,6,9,170,Emlakçıdan,3+1,Kurumsal,09.12.2018
8,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32010746,21 ve üzeri,"MASHATTAN KIRALIK DAIRE, 4+1 GENIS MANZARALI RESIDENCE",9.5,9,255,Emlakçıdan,4+1,Kurumsal,09.12.2018
9,/konut-kiralik/istanbul-kadikoy-kozyatagi-emlakcidan-daire/detay/32383725,2. Kat,KOZYATAĞI SIFIR 3+1 KOMBİ SPOTIŞIK KLİMA PANJUR ŞIKBANYOLU ŞIKMU,2.3,0,90,Emlakçıdan,3+1,Bireysel,09.12.2018
10,/konut-kiralik/istanbul-besiktas-levazim-emlakcidan-daire/detay/32381156,1. Kat,ORTAKÖY SAKLIKENT SİTESİ\u0027NDE KİRALIK DAİRE,7.5,13,207,Emlakçıdan,3+1,Kurumsal,09.12.2018
11,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32184521,6. Kat,Maslak Mashattan Modern Eşyalı 3+1 Kiralik Daire (90),7.45,12,170,Emlakçıdan,3+1,Kurumsal,09.12.2018
12,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32361647,,Sarıyer maslak 1453 ağaoğlu 1+1 kıralık resıdence daıre vadı,2.9,3,84,Emlakçıdan,1+1,Bireysel,09.12.2018
13,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32307242,3. Kat,NİŞANTAŞI 1+1 60 M2 FUUL MÖBLELİ LÜKS DAİRE,5.75,3,60,Emlakçıdan,1+1,Bireysel,09.12.2018
14,/konut-kiralik/istanbul-kadikoy-erenkoy-emlakcidan-daire/detay/32393967,4. Kat,ERENKÖY SAHİLDE AKTÜEL\u0027DEN 250 M2 DENİZ MANZARALI GÜVENLİKLİ 4+1,9.5,30,250,Emlakçıdan,4+1,Kurumsal,09.12.2018
15,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32233989,4. Kat,"ULUS\u0027TA FULL AKTİVİTELİ LÜKS SİTEDE, MOBİLYALI 4+1 ŞIK DAİRE",9.5,25,220,Emlakçıdan,4+1,Bireysel,09.12.2018
